O/C,CRN,PREF,CRS,SECT,TITLE,CR,DAYS,ST TM,END TM,BLDG,ROOM,CAP,ST DT,END DT,CENSUS,WITHD,LST NM,FST NM
O,61693,ANT,101,601,Cultural Anthropology : SS3,3,MWF,1000AM,1050AM,FLARMR,CP121,28,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,
O,63037,ANT,101,602,Cultural Anthropology : SS3,3,MW,0100PM,0215PM,FLARMR,BP141,28,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,
O,62076,ANT,101,603,Cultural Anthropology : SS3,3,TR,0835AM,0950AM,FLARMR,BP141,28,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,
O,63901,ANT,101,604,Cultural Anthropology : SS3,3,MWF,0230PM,0330PM,FLARMR,BP105,16,12-Feb-19,13-May-19,24-Feb-19,24-Apr-19,STAFF,
O,61813,ANT,107,601,Intro to Archaeology: GT-SS3,3,TR,0100PM,0215PM,FLARMR,CP121,28,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,
O,63893,ANT,111,601,Bio Anthrplgy W/Lab: GT - SC1,4,MWF,0810AM,0950AM,FLARMR,CP121,24,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,
O,65077,ANT ,111,602,Bio Anthrplgy W/Lab: GT - SC1,4,TR,0230PM,0530PM,FLARMR,CP121,24,12-Feb-19,13-May-19,24-Feb-19,24-Apr-19,STAFF,
O,61935,ANT,201,601,Intro to Forensc Anthrp:GT-SS3,3,TR,1125AM,1240PM,FLARMR,CP121,24,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,
O,64585,ANT,215,601,Indians of No. America: GT-SS3,3,MWF,1100AM,1150AM,FLARMR,CP121,28,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,
,DB,ANT,240,601,Environmental Anthropology,3,TR,1000AM,1115AM,FLARMR,CP121,28,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,
O,60785,ETH,200,601,Intro to Ethnic Studies:GT-SS3,3,MWF,1100AM,1150AM,FLARMR,BP106,20,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,
