O/C,CRN,PREF,CRS,SECT,TITLE,CR,DAYS,ST TM,END TM,BLDG,ROOM,CAP,ST DT,END DT,CENSUS,WITHD,LST NM,FST NM
O,62758,ACC,101,601,Fundamentals of Accounting,3,MW,0400PM,0515PM,FLARMR,BP127,24,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,
O,61029,ACC,121,601,Accounting Principles I,4,TR,0400PM,0550PM,FLARMR,BP113,24,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,
O,61033,ACC,121,602,Accounting Principles I,4,TR,0200PM,0350PM,FLARMR,BP113,24,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,
O,61812,ACC,121,603,Accounting Principles I,4,MW,0200PM,0350PM,FLARMR,BP113,24,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,
O,62160,ACC,121,604,Accounting Principles I,4,MW,0800AM,0950AM,FLARMR,BP113,24,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,Tygesen,Deborah
O,64432,ACC,121,605,Accounting Principles I,4,MW,1200PM,0150PM,FLARMR,BP113,24,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,Tygesen,Deborah
O,61039,ACC,122,601,Accounting Principles II,4,MW,1000AM,1150AM,FLARMR,BP113,24,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,Limbacher,Erika
O,61041,ACC,122,602,Accounting Principles II,4,TR,1200PM,0150PM,FLARMR,BP113,24,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,Broesche,Tiffany
O,64431,ACC,122,603,Accounting Principles II,4,TR,0600PM,0750PM,FLARMR,BP113,24,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,
O,64240,ACC,133,601,Tax Help Colorado Practicum,1,,,,FLARMR,BP125,24,22-Jan-19,22-Apr-19,3-Feb-19,3-Apr-19,STAFF,
O,64240,ACC,133,601,Tax Help Colorado Practicum,1,F,1000AM,0100PM,FLARMR,BP127,24,22-Jan-19,22-Apr-19,3-Feb-19,3-Apr-19,STAFF,
O,64241,ACC,135,641,Spreadsheet Apps/ Accounting,3,W,0400PM,0515PM,FLARMR,BP112,24,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,
O,64241,ACC,135,641,Spreadsheet Apps/ Accounting,3,,,,FLARMR,ONLINE,24,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,
O,61043,ACC,245,641,Computerized Acct Prof Pkg,3,W,0530PM,0645PM,FLARMR,BP112,18,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,
O,61043,ACC,245,641,Computerized Acct Prof Pkg,3,,,,FLARMR,ONLINE,18,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,
O,63057,ACC,280,601,Internship,1,,,,FLARMR,TBA,10,12-Feb-19,13-May-19,24-Feb-19,24-Apr-19,STAFF,
