O/C,CRN,PREF,CRS,SECT,TITLE,CR,DAYS,ST TM,END TM,BLDG,ROOM,CAP,ST DT,END DT,CENSUS,WITHD,LST NM,FST NM,
O,62053,AEC,101,641,Basic Architectural Drafting,4,TR,1030AM,1250PM,FLARMR,RP139,18,22-Jan-19,9-May-19,6-Feb-19,20-Apr-19,Hahn,Jamie,
O,62053,AEC,101,641,Basic Architectural Drafting,4,,,,FLARMR,ONLINE,,22-Jan-19,9-May-19,6-Feb-19,20-Apr-19,Hahn,Jamie,
O,62054,AEC,101,642,Basic Architectural Drafting,4,MW,0330PM,0550PM,FLARMR,RP139,18,23-Jan-19,13-May-19,6-Feb-19,20-Apr-19,Dickey,Jeanne,
O,62054,AEC,101,642,Basic Architectural Drafting,4,,,,FLARMR,ONLINE,,23-Jan-19,13-May-19,6-Feb-19,20-Apr-19,Dickey,Jeanne,
O,62055,AEC,102,641,Residential Construction Draw,4,TR,0600PM,0820PM,FLARMR,RP139,18,22-Jan-19,9-May-19,6-Feb-19,20-Apr-19,Koldeway,Curtis,
O,62055,AEC,102,641,Residential Construction Draw,4,,,,FLARMR,ONLINE,,22-Jan-19,9-May-19,6-Feb-19,20-Apr-19,Koldeway,Curtis,
O,62392,AEC,121,641,Construction Material/Systems,3,MW,1010AM,1230PM,FLARMR,RP139,18,23-Jan-19,8-Apr-19,1-Feb-19,23-Mar-19,Hahn,Jamie,
O,62392,AEC,121,641,Construction Material/Systems,3,,,,FLARMR,ONLINE,,23-Jan-19,8-Apr-19,1-Feb-19,23-Mar-19,Hahn,Jamie,
O,63493,AEC,122,641,Construction Practices & Docs,2,MW,1000AM,1220PM,FLARMR,RP139,16,10-Apr-19,13-May-19,13-Apr-19,6-May-19,Hahn,Jamie,
O,63493,AEC,122,641,Construction Practices & Docs,2,,,,FLARMR,ONLINE,,10-Apr-19,13-May-19,13-Apr-19,6-May-19,Hahn,Jamie,
O,61287,AEC,200,641,Building Design Development,3,TR,0330PM,0550PM,FLARMR,RP139,16,22-Jan-19,9-May-19,6-Feb-19,20-Apr-19,Moscrip,Shaun,
O,61287,AEC,200,641,Building Design Development,3,,,,FLARMR,ONLINE,,22-Jan-19,9-May-19,6-Feb-19,20-Apr-19,Moscrip,Shaun,
O,63806,AEC,208,641,Building Environmental Sys I,3,TR,0830AM,1020AM,FLARMR,RP139,16,22-Jan-19,9-May-19,6-Feb-19,20-Apr-19,Dickey,Jeanne,
O,63806,AEC,208,641,Building Environmental Sys I,3,,,,FLARMR,ONLINE,,22-Jan-19,9-May-19,6-Feb-19,20-Apr-19,Dickey,Jeanne,
O,64218,AEC,289,641,Capstone,3,MW,1230PM,0330PM,FLARMR,RP139,10,23-Jan-19,13-May-19,6-Feb-19,20-Apr-19,Hahn,Jamie,
O,62665,ART,107,601,Art Education Methods,3,TR,9:00AM,10:15AM,FLARMR,RP153,15,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,60538,ART,110,601,Art Appreciation: AH1,3,MW,0225PM,0340PM,FLARMR,RP136,24,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,60539,ART,110,602,Art Appreciation: AH1,3,MW,0535PM,0650PM,FLARMR,RP136,24,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,60540,ART,110,603,Art Appreciation: AH1,3,TR,0225PM,0340PM,FLARMR,RP136,24,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,60541,ART,111,601,Art Hist Ancient/ MedievGT-AH1,3,MWF,0900AM,0950AM,FLARMR,RP136,24,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,60542,ART,112,601,Art Hist Renaiss/1900:GT-AH1,3,MWF,1000AM,1050AM,FLARMR,RP136,24,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,60544,ART,121,601,Drawing I,3,MW,0900AM,1150AM,FLARMR,RP154,15,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
O,60546,ART,121,602,Drawing I,3,TR,0830AM,1120AM,FLARMR,RP154,15,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,
