O/C,CRN,PREF,CRS,SECT,TITLE,CR,DAYS,ST TM,END TM,BLDG,ROOM,CAP,ST DT,END DT,LST NM,FST NM
O,60772,ECO,101,601,Econ Of Social Issues:SS1,3,MW,0225PM,0340PM,FLARMR,BP131,28,22-Jan-19,13-May-19,STAFF,
O,62746,ECO,101,602,Econ Of Social Issues:SS1,3,TR,1125AM,1240PM,FLARMR,BP131,28,22-Jan-19,13-May-19,STAFF,
O,60773,ECO,201,601,Prin of Macroeconomics: SS1,3,MWF,1000AM,1050AM,FLARMR,BP131,28,22-Jan-19,13-May-19,STAFF,
O,60775,ECO,201,602,Prin of Macroeconomics: SS1,3,MW,0100PM,0215PM,FLARMR,BP131,28,22-Jan-19,13-May-19,STAFF,
O,60774,ECO,201,603,Prin of Macroeconomics: SS1,3,MW,0400PM,0515PM,FLARMR,BP131,28,22-Jan-19,13-May-19,STAFF,
O,62350,ECO,201,604,Prin of Macroeconomics: SS1,3,TR,0835AM,0950AM,FLARMR,BP131,28,22-Jan-19,13-May-19,STAFF,
O,60776,ECO,201,605,Prin of Macroeconomics: SS1,3,TR,0530PM,0645PM,FLARMR,BP131,28,22-Jan-19,13-May-19,STAFF,
O,62077,ECO,201,606,Prin of Macroeconomics: SS1,3,TR,,,FLARMR,,16,12-Feb-19,13-May-19,STAFF,
O,60777,ECO,202,603,Prin of Microeconomics: SS1,3,MWF,1200PM,1250PM,FLARMR,BP110,24,22-Jan-19,13-May-19,STAFF,
O,62351,ECO,202,601,Prin of Microeconomics: SS1,3,MW,0835AM,0950AM,FLARMR,BP131,28,22-Jan-19,13-May-19,STAFF,
O,60778,ECO,202,602,Prin of Microeconomics: SS1,3,MWF,1100AM,1150AM,FLARMR,BP131,28,22-Jan-19,13-May-19,STAFF,
O,60781,ECO,202,604,Prin of Microeconomics: SS1,3,TR,1000AM,1115AM,FLARMR,BP131,28,22-Jan-19,13-May-19,STAFF,
O,61644,ECO,202,605,Prin of Microeconomics: SS1,3,TR,0100PM,0215PM,FLARMR,BP131,28,22-Jan-19,13-May-19,STAFF,
O,64586,ECO,202,606,Prin of Microeconomics: SS1,3,TR,0400PM,0515PM,FLARMR,BP110,24,12-Feb-19,13-May-19,STAFF,
O,60779,ECO,202,607,Prin of Microeconomics: SS1,3,MW,0530PM,0645PM,FLARMR,BP131,28,22-Jan-19,13-May-19,STAFF,
O,65076,ECO,202,608,Prin of Microeconomics: SS1,3,MW,,,FLARMR,,16,12-Feb-19,13-May-19,STAFF,
O,63399,ECO,245,601,Iss. in Environmental Econ:SS1,3,MWF,1100AM,1150AM,FLARMR,BP115,24,22-Jan-19,13-May-19,STAFF,
