CRN,PREF,CRS,SECT,TITLE,CR,DAYS,ST TM,END TM,BLDG,ROOM,CAP,ST DT,END DT,INSTR,COURSE NOTES
63539,CCR,092,601,Composition & Reading,5,MW,0100PM,0315PM,FLARMR,CP221,20,22-Jan-19,13-May-19,STAFF,
63139,CCR,092,602,Composition & Reading,5,MW,0500PM,0715PM,FLARMR,CP221,20,22-Jan-19,13-May-19,STAFF,
63138,CCR,092,62A,Composition & Reading,5,TR,0900AM,1115AM,FLARMR,CP123,12,22-Jan-19,13-May-19,STAFF,
63651,CCR,092,63A,Composition & Reading,5,TR,0900AM,1115AM,FLARMR,CP123,8,22-Jan-19,13-May-19,STAFF,
65156,CCR,092,603,Composition & Reading,5,MWF,0800AM,0925AM,FLARMR,CP221,20,22-Jan-19,13-May-19,STAFF,
63208,CCR,094,63A,Studio 121,3,TR,0835AM,0950AM,FLARMR,CP122,12,22-Jan-19,13-May-19,STAFF,
63140,CCR,094,63B,Studio 121,3,MWF,0900AM,0950AM,FLARMR,CP210,12,22-Jan-19,13-May-19,STAFF,
63143,CCR,094,63C,Studio 121,3,TR,1125AM,1240PM,FLARMR,CP210,12,22-Jan-19,13-May-19,STAFF,
63141,CCR,094,63D,Studio 121,3,MWF,1200PM,1250PM,FLARMR,CP122,12,22-Jan-19,13-May-19,STAFF,
63142,CCR,094,63E,Studio 121,3,MW,0225PM,0340PM,FLARMR,CP210,12,22-Jan-19,13-May-19,STAFF,
63207,CCR,094,63F,Studio 121,3,MW,0530PM,0645PM,FLARMR,CP122,12,22-Jan-19,13-May-19,STAFF,
63144,CCR,094,63G,Studio 121,3,TR,0700PM,0815PM,FLARMR,CP122,12,22-Jan-19,13-May-19,STAFF,
63541,CCR,094,63H,Studio 121,3,TR,1000AM,1115AM,FLARMR,CP210,12,22-Jan-19,13-May-19,STAFF,
64592,CCR,094,63I,Studio 121,3,MWF,1100AM,1150AM,FLARMR,CP210,12,22-Jan-19,13-May-19,STAFF,
64846,CCR,094,63K,Studio 121,3,MW,0400PM,0515PM,FLARMR,CP121,12,22-Jan-19,13-May-19,STAFF,
63540,CCR,094,64A,Studio 121,3,TR,0200PM,0250PM,FLARMR,CP210,12,22-Jan-19,13-May-19,STAFF,
63540,CCR,094,64A,Studio 121,3,,,,FLARMR,ONLINE,,22-Jan-19,13-May-19,STAFF,
62557,ENG,115,601,Technical English & Comm,3,TR,1125AM,1240PM,FLARMR,TBD--COMPUTERS NEEDED,18,22-Jan-19,13-May-19,STAFF,
60585,ENG,121,601,English Composition I : CO1,3,MWF,0800AM,0850AM,FLARMR,CP123,24,22-Jan-19,13-May-19,STAFF,
60584,ENG,121,602,English Composition I : CO1,3,TR,1130AM,1245PM,FLARMR,CP123,24,22-Jan-19,13-May-19,STAFF,
62379,ENG,121,603,English Composition I : CO1,3,MWF,0900AM,0950AM,FLARMR,CP123,24,22-Jan-19,13-May-19,STAFF,
63877,ENG,121,604,English Composition I : CO1,3,F,1000AM,1240PM,FLARMR,CP221,24,22-Jan-19,13-May-19,STAFF,
62538,ENG,121,605,English Composition I : CO1,3,TR,0100PM,0215PM,FLARMR,CP123,24,22-Jan-19,13-May-19,STAFF,
63145,ENG,121,606,English Composition I : CO1,3,TR,0225PM,0340PM,FLARMR,CP123,24,22-Jan-19,13-May-19,STAFF,
61556,ENG,121,607,English Composition I : CO1,3,MWF,0200PM,0250PM,FLARMR,CP123,24,22-Jan-19,13-May-19,STAFF,
63883,ENG,121,608,English Composition I : CO1,3,MWF,1000AM,1050AM,FLARMR,BP111,24,22-Jan-19,13-May-19,STAFF,
60586,ENG,121,609,English Composition I : CO1,3,TR,0400PM,0515PM,FLARMR,CP123,24,22-Jan-19,13-May-19,STAFF,
63885,ENG,121,610,English Composition I : CO1,3,MWF,1200PM,1250PM,FLARMR,CP123,24,22-Jan-19,13-May-19,STAFF,
64847,ENG,121,610,English Composition I : CO1,3,MW,0700PM,0815PM,FLARMR,CP123,24,22-Jan-19,13-May-19,STAFF,
64848,ENG,121,611,English Composition I : CO1,3,TR,0530PM,0645PM,FLARMR,CP123,24,22-Jan-19,13-May-19,STAFF,
64937,ENG,121,613,English Composition I : CO1,3,MWF,1200PM,0100PM,FLARMR,MP102,24,12-Feb-19,13-May-19,STAFF,
64944,ENG,121,614,English Composition I : CO1,3,MW,0225PM,0340PM,FLARMR,CP128,24,22-Jan-19,13-May-19,STAFF,
63873,ENG,121,62A,English Composition I : CO1,3,TR,0710AM,0825AM,FLARMR,CP122,12,22-Jan-19,13-May-19,STAFF,
62834,ENG,121,62B,English Composition I : CO1,3,MWF,0800AM,0850AM,FLARMR,CP122,12,22-Jan-19,13-May-19,STAFF,
60579,ENG,121,62C,English Composition I : CO1,3,TR,1000AM,1115AM,FLARMR,CP122,12,22-Jan-19,13-May-19,STAFF,
62929,ENG,121,62D,English Composition I : CO1,3,MWF,1100AM,1150PM,FLARMR,CP122,12,22-Jan-19,13-May-19,STAFF,
62930,ENG,121,62E,English Composition I : CO1,3,MW,0100PM,0215PM,FLARMR,CP122,12,22-Jan-19,13-May-19,STAFF,
63210,ENG,121,62F,English Composition I : CO1,3,MW,0400PM,0515PM,FLARMR,CP122,12,22-Jan-19,13-May-19,STAFF,
