O/C,CRN,PREF,CRS,SECT,TITLE,CR,DAYS,ST TM,END TM,BLDG,ROOM,CAP,ST DT,END DT,LST NM,FST NM
,65125,NUA,101,740,Nurse Aide Health Care Skills waitlist please,4,R,0800AM,1230PM,FLARMR,LVLD6,18,24-Jan-19,4-Apr-19,Sevy,Suzanne
,65125,NUA,101,740,Nurse Aide Health Care Skills,4,,,,FLARMR,ONLINE,,,,,
,65126,NUA,101,741,Nurse Aide Health Care Skills waitlist please,4,T,0400PM,0830PM,FLARMR,LVLD6,18,29-Jan-19,9-Apr-19,Sevy,Suzanne
,65126,NUA,101,741,Nurse Aide Health Care Skills,4,,,,FLARMR,ONLINE,,,,,
,65127,NUA,101,742,Nurse Aide Health Care Skills waitlist please,4,TR,0100PM,0330PM,FLARMR,LVLD7,18,12-Feb-19,25-Apr-19,Sevy,Suzanne
,65127,NUA,101,742,Nurse Aide Health Care Skills,4,,,,FLARMR,ONLINE,,,,,
,65128,NUA,170,740,Nurse Aide Clinical Experience,1,UFS,TBA,,FLARMR,TBA,18,5-Apr-19,10-Apr-19,TBA,TBA
,65128,NUA,170,740,Nurse Aide Clinical Experience,1,,,,FLARMR,ONLINE,,,,,
,65129,NUA,170,741,Nurse Aide Clinical Experience,1,UFS,TBA,,FLARMR,TBA,18,12-Apr-19,17-Apr-19,TBA,TBA
,65129,NUA,170,741,Nurse Aide Clinical Experience,1,,,,FLARMR,ONLINE,,,,,
,65130,NUA,170,742,Nurse Aide Clinical Experience,1,UFS,TBA,,FLARMR,TBA,18,26-Apr-19,1-May-19,TBA,TBA
,65130,NUA,170,742,Nurse Aide Clinical Experience,1,,,,FLARMR,ONLINE,,,,,
