,,,,,,,,,,,,,,,,,,,
O/C,CRN,PREF,CRS,SECT,TITLE,CR,DAYS,ST TM,END TM,BLDG,ROOM,CAP,ST DT,END DT,LST NM,FST NM,COURSE NOTES,,
O,60791,HIS,101,601,Western Civ:Antiquity-1650 HI1,3,MWF,1000AM,1050AM,FLARMR,CP126,30,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,"Prerequisite or Co-requisite: CCR 092, CCR 093, or CCR 094."
O,62525,HIS,101,602,Western Civ:Antiquity-1650 HI1,3,MWF,1200PM,1250PM,FLARMR,CP126,30,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,"Prerequisite or Co-requisite: CCR 092, CCR 093, or CCR 094."
O,63834,HIS,101,603,Western Civ:Antiquity-1650 HI1,3,MW,0225PM,340PM,FLARMR,CP126,30,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,"Prerequisite or Co-requisite: CCR 092, CCR 093, or CCR 094."
O,63835,HIS,101,604,Western Civ:Antiquity-1650 HI1,3,TR,0405PM,0520PM,FLARMR,CP126,30,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,"Prerequisite or Co-requisite: CCR 092, CCR 093, or CCR 094."
O,62526,HIS,101,605,Western Civ:Antiquity-1650 HI1,3,TR,0225PM,0355PM,FLARMR,CP126,16,12-Feb-19,13-May-19,24-Feb-19,24-Apr-19,STAFF,,"Note: This is a Start 2, 13-week class. Prerequisite or Co-requisite: CCR 092, CCR 093, or CCR 094."
O,62132,HIS,101,606,Western Civ:Antiquity-1650 HI1,3,TR,0530PM,0645PM,FLARMR,CP126,30,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,"Prerequisite or Co-requisite: CCR 092, CCR 093, or CCR 094."
O,60797,HIS,102,601,Western Civ: 1650-Present HI1,3,MWF,1100AM,1150AM,FLARMR,BP110,16,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,"Prerequisite or Co-requisite: CCR 092, CCR 093, or CCR 094."
O,65075,HIS,102,63S,Western Civ: 1650-Present HI1,3,MW,0100PM,0215PM,FLARMR,CP126,24,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,Reinking,Cory,"Note: CONGRATULATIONS! You have found one of our fantastic Learning Communities. To offer students a more comprehensive educational experience, this course is paired with ENG 122-___ and our students think it’s great! In order to take this Learning Community, students need to register for both classes. Here is a link to our web page: http://www.frontrange.edu/Current-Students/Learning-Resources-and-Support-Programs/Learning-Communities/Larimer.aspx "
O,60798,HIS,102,602,Western Civ: 1650-Present HI1,3,TR,0400PM,0515PM,FLARMR,CP225,24,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,STAFF,,"Prerequisite or Co-requisite: CCR 092, CCR 093, or CCR 094."
O,61656,HIS,111,601,The World: Antiquity-1500: HI1,3,TR,1125AM,1240PM,FLARMR,CP126,30,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,Long,J.Michael,"Prerequisite or Co-requisite: CCR 092, CCR 093, or CCR 094."
