O/C,CRN,PREF,CRS,SECT,TITLE,CR,DAYS,ST TM,END TM,BLDG,ROOM,CAP,ST DT,END DT,LST NM,FST NM,COURSE NOTES
O,62395,HVA,101,741,Air Conditioning&Refrigeration,4,MW,0500PM,0900PM,FLARMR,LVLD12,12,23-Jan-19,13-Mar-19,Cooper,Craig,
O,62395,HVA,101,741,Air Conditioning&Refrigeration,4,,,,FLARMR,ONLINE,,23-Jan-19,13-Mar-19,Cooper,Craig,
O,65160,HVA,102,741,Basic Refrigeration,4,MW,0500PM,0900PM,FLARMR,LVLD12,12,25-Mar-19,13-May-19,Cooper,Craig,
O,65160,HVA,102,741,Basic Refrigeration,4,,,,FLARMR,ONLINE,,25-Mar-19,13-May-19,Cooper,Craig,
O,62980,HVA,103,741,Basic Electricity,3,TR,0500PM,0800PM,FLARMR,LVLD12,12,22-Jan-19,12-Mar-19,King,Thomas,
O,62980,HVA,103,741,Basic Electricity,3,,,,FLARMR,ONLINE,,22-Jan-19,12-Mar-19,King,Thomas,
O,63538,HVA,103,742,Basic Electricity,3,TWR,1230PM,0230PM,FLARMR,LVLD12,12,22-Jan-19,13-Mar-19,Guthrie,Brad,
O,63538,HVA,103,742,Basic Electricity,3,,,,FLARMR,ONLINE,,22-Jan-19,13-Mar-19,Guthrie,Brad,
O,64192,HVA,104,741,Electrical Components,4,TR,0500PM,0900PM,FLARMR,LVLD12,12,14-Mar-19,9-May-19,King,Thomas,
O,64192,HVA,104,741,Electrical Components,4,,,,FLARMR,ONLINE,,14-Mar-19,9-May-19,King,Thomas,
O,64496,HVA,104,742,Electrical Components,4,MTWR,1230PM,0230PM,FLARMR,LVLD12,12,14-Mar-19,13-May-19,Guthrie,Brad,
O,64496,HVA,104,742,Electrical Components,4,,,,FLARMR,ONLINE,,14-Mar-19,13-May-19,Guthrie,Brad,
O,61248,HVA,123,741,Air Conditioning,4,TR,0500PM,0900PM,FLARMR,LVLD3,12,22-Jan-19,12-Mar-19,Hoerner,Dale,
O,61248,HVA,123,741,Air Conditioning,4,,,,FLARMR,ONLINE,,22-Jan-19,12-Mar-19,Hoerner,Dale,
O,64193,HVA,124,741,Advanced Air Conditioning,4,TR,0500PM,0900PM,FLARMR,LVLD3,12,14-Mar-19,9-May-19,Hoerner,Dale,
O,64193,HVA,124,741,Advanced Air Conditioning,4,,,,FLARMR,ONLINE,,14-Mar-19,9-May-19,Hoerner,Dale,
O,65161,HVA,201,741,Heating for Commercial,3,MW,0500PM,0800PM,FLARMR,LVLD3,12,25-Mar-19,13-May-19,Graham,Daniel,
O,65161,HVA,201,741,Heating for Commercial,3,,,,FLARMR,ONLINE,,25-Mar-19,13-May-19,Graham,Daniel,
O,64497,HVA,202,741,Troubleshooting& Customer Serv,3,S,0930AM,1230PM,FLARMR,LVLD12,12,26-Jan-19,11-May-19,Guthrie,Brad,
O,64497,HVA,202,741,Troubleshooting& Customer Serv,3,,,,FLARMR,ONLINE,,26-Jan-19,11-May-19,Guthrie,Brad,
O,62981,HVA,203,741,Industrial Controls,3,F,0500PM,0800PM,FLARMR,LVLD12,12,25-Jan-19,10-May-19,Graham,Daniel,
O,62981,HVA,203,741,Industrial Controls,3,,,,FLARMR,ONLINE,,25-Jan-19,10-May-19,Graham,Daniel,
O,62982,HVA,247,741,Hot Water Heating Systems,4,MW,0500PM,0900PM,FLARMR,LVLD3,12,23-Jan-19,13-Mar-19,Guthrie,Brad,
O,62982,HVA,247,741,Hot Water Heating Systems,4,,,,FLARMR,ONLINE,,23-Jan-19,13-Mar-19,Guthrie,Brad,
O,64278,HVA,280,601,Internship,2,,,,FLARMR,TBA,12,22-Jan-19,13-May-19,Guthrie,Brad,
