O/C,CRN,PREF,CRS,SECT,TITLE,CR,DAYS,ST TM,END TM,BLDG,ROOM,CAP,ST DT,END DT,LST NM,FST NM
O,64171,MAT,020,601       631,Quantitative Literacy Lab,1,MW            MTWRF,0140PM     0930AM,0230PM     0950AM,FLARMR,CP127,26     24,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19
O,64587,MAT,020,602       632,Quantitative Literacy Lab,1,TR            MWF,0530PM     1120AM,0620PM     1155AM,FLARMR,CP127,26     24,22-Jan-19     23-Jan-19,13-May-19,6-Feb-19,20-Apr-19
O,64996,MAT,020,603       633,Quantitative Literacy Lab,1,TR            MTWRF,1000AM     0300PM,1050AM     0320PM,FLARMR,CP127,24,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19
O,64997,MAT,025,601       631,Algebraic Literacy Lab,1,TR            MTWRF,0900AM     0930AM,0950AM,FLARMR,CP127     CP 128,24,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19
O,63351,MAT,025,602       632,Algebraic Literacy Lab,1,TR            MWF,0500PM     1120AM,0550PM     11:55AM,FLARMR,CP128,26     24,22-Jan-19     23-Jan-19,13-May-19,6-Feb-19,20-Apr-19
O,64588,MAT,025,631       633,Algebraic Literacy Lab,1,MWF            MTWRF,1000AM     0300PM,1035AM     0320PM,FLARMR,CP128,24,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19
O,63775,MAT,050,601,Quantitative Literacy,4,MWF          TR,1100AM     1000AM,1210PM     1150AM,FLARMR,CP127,24,22-Jan-19,13-May-19     9-May-19,6-Feb-19,20-Apr-19
O,63007,MAT,050,602,Quantitative Literacy,4,MWF          TR,1220PM     1200PM,0130PM     0150PM,FLARMR,CP127,24,22-Jan-19,13-May-19     9-May-19,6-Feb-19,20-Apr-19
O,63352,MAT,050,603,Quantitative Literacy,4,TR          MWF,0100PM     1230PM,0250PM     0140PM,FLARMR,CP127,24,22-Jan-19     23-Jan-19,13-May-19,6-Feb-19,20-Apr-19
O,63353,MAT,050,604,Quantitative Literacy,4,TR          MW,0300PM     0330PM,0450PM     0520PM,FLARMR,CP127,24,22-Jan-19     23-Jan-19,13-May-19,6-Feb-19,20-Apr-19
O,63354,MAT,050,605,Quantitative Literacy,4,MW        TR,0530PM     0330PM,0720PM     0520PM,FLARMR,CP127,24,22-Jan-19,13-May-19     9-May-19,6-Feb-19,20-Apr-19
O,63355,MAT,050,606,Quantitative Literacy,4,MW,0730PM     0530PM,0920PM     0720PM,FLARMR,CP127,24,22-Jan-19     23-Jan-19,13-May-19,6-Feb-19,20-Apr-19
O,64173,MAT,050,608     607,Quantitative Literacy,4,MWF          TR,1130AM     0530PM,0100PM     0720PM,FLARMR,BP142     CP127,12     24,12-Feb-19     22-Jan-19,13-May-19     9-May-19,24-Feb-19     6-Feb-19,24-Apr-19     20-Apr-19
O,64589,MAT,050,609     608,Quantitative Literacy,4,TR,0530PM     0240PM,0735PM     0445PM,FLARMR,BP142     BP105,12,12-Feb-19,13-May-19     9-May-19,24-Feb-19,24-Apr-19
O,63776,MAT,050,610     631,Quantitative Literacy,4,MWF          MTWRF,0800AM     0840AM,0910AM     0920AM,FLARMR,CP127,24,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19
O,64995,MAT,050,611     632,Quantitative Literacy,4,MWF,0930AM     1000AM,1040AM     1110AM,FLARMR,CP127,24,22-Jan-19     23-Jan-19,13-May-19,6-Feb-19,20-Apr-19
O,63105,MAT,050,63X     633,Quantitative Literacy,4,TR          MTWRF,1100AM     0210PM,1250PM     0250PM,FLARMR,CP127,24,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19
O,63094,MAT,055,601,Algebraic Literacy,4,MWF          TR,0720AM     1000AM,0830AM     1150AM,FLARMR,CP128,24,22-Jan-19,13-May-19     9-May-19,6-Feb-19,20-Apr-19
O,63095,MAT,055,602,Algebraic Literacy,4,MWF          TR,1240PM     1200PM,0150PM,FLARMR,CP128,24,22-Jan-19,13-May-19     9-May-19,6-Feb-19,20-Apr-19
O,63096,MAT,055,603,Algebraic Literacy,4,TR               MWF,1100AM     1230PM,1250PM     0140PM,FLARMR,CP128,24,22-Jan-19     23-Jan-19,13-May-19,6-Feb-19,20-Apr-19
O,63097,MAT,055,604,Algebraic Literacy,4,TR               MW,0100PM     0330PM,0250PM     0520PM,FLARMR,CP128,24,22-Jan-19     23-Jan-19,13-May-19,6-Feb-19,20-Apr-19
O,63356,MAT,055,605,Algebraic Literacy,4,TR,0300PM     0330PM,0450PM     0520PM,FLARMR,CP128,24,22-Jan-19,13-May-19     9-May-19,6-Feb-19,20-Apr-19
O,63357,MAT,055,606,Algebraic Literacy,4,MW,0530PM,0720PM,FLARMR,CP128,24,22-Jan-19     23-Jan-19,13-May-19,6-Feb-19,20-Apr-19
O,63358,MAT,055,607,Algebraic Literacy,4,MW            TR,0730PM     0530PM,0920PM     0720PM,FLARMR,CP128,24,22-Jan-19,13-May-19     9-May-19,6-Feb-19,20-Apr-19
O,63359,MAT,055,608,Algebraic Literacy,4,MWF,1200PM1130AM,0130PM     0100PM,FLARMR,BP105,12,12-Feb-19     13-Feb-19,13-May-19,24-Feb-19,24-Apr-19
O,63360,MAT,055,609,Algebraic Literacy,4,MWF          TR,1100AM     0500PM,1210PM     0705PM,FLARMR,CP128     BP105,24     12,22-Jan-19     12-Feb-19,13-May-19     9-May-19,6-Feb-19     24-Feb-19,20-Apr-19     24-Apr-19
O,63361,MAT,055,610     631,Algebraic Literacy,4,TR          MTWRF,0530PM     0840AM,0735PM     0920AM,FLARMR,BP105     CP128,12     24,12-Feb-19     22-Jan-19,13-May-19,24-Feb-19     6-Feb-19,24-Apr-19     20-Apr-19
O,64716,MAT,055,612     632,Algebraic Literacy,4,TR          MWF,0900AM     1000AM,1050AM     1110AM,FLARMR,CP128,24,22-Jan-19     23-Jan-19,13-May-19,6-Feb-19,20-Apr-19
