CRN,PREF,CRS,SECT,TITLE,CR,DAYS,ST TM,END TM,BLDG,ROOM,CAP,ST DT,END DT,LST NM,FST NM,COURSE NOTES
63055,EGT,201,601,Engineering Materials,3,MW,1230PM,0150PM,FLARMR,LBP120,16,23+AC0-Jan+AC0-19,13+AC0-May+AC0-19,6+AC0-Feb+AC0-19,20+AC0-Apr+AC0-19,STAFF
64893,ELT,106,641,Fundamentals of DC/AC,4,MWF,0200PM,0350PM,FLARMR,LBP120,20,23+AC0-Jan+AC0-19,13+AC0-May+AC0-19,6+AC0-Feb+AC0-19,20+AC0-Apr+AC0-19,STAFF
64893,ELT,106,641,Fundamentals of DC/AC,4,,,,FLARMR,ONLINE,,23+AC0-Jan+AC0-19,13+AC0-May+AC0-19,6+AC0-Feb+AC0-19,20+AC0-Apr+AC0-19,STAFF
62558,ELT,205,601,Electronic Troubleshooting I,3,MW,1030AM,1220PM,FLARMR,LBP120,18,23+AC0-Jan+AC0-19,13+AC0-May+AC0-19,6+AC0-Feb+AC0-19,20+AC0-Apr+AC0-19,STAFF
62556,ELT,258,601,Programmable Logic Controllers,3,TR,1100AM,1250PM,FLARMR,LBP120,18,22+AC0-Jan+AC0-19,9+AC0-May+AC0-19,6+AC0-Feb+AC0-19,20+AC0-Apr+AC0-19,STAFF
62568,ENY,122,601,Wind Energy +ACY- Photovoltaics,3,F,0930AM,1220PM,FLARMR,LBP120,16,25+AC0-Jan+AC0-19,10+AC0-May+AC0-19,6+AC0-Feb+AC0-19,20+AC0-Apr+AC0-19,STAFF
63367,ENY,161,601,Energy Industry Fundamentals,4,TR,0100PM,0250PM,FLARMR,LBP120,18,22+AC0-Jan+AC0-19,9+AC0-May+AC0-19,6+AC0-Feb+AC0-19,20+AC0-Apr+AC0-19,STAFF
63896,MTE,106,641,Print Reading Manufacturing,3,MWF,1100AM,1150AM,FLARMR,LBP115,18,22+AC0-Jan+AC0-19,13+AC0-May+AC0-19,6+AC0-Feb+AC0-19,20+AC0-Apr+AC0-19,STAFF
63896,MTE,106,641,Print Reading Manufacturing,3,,,,FLARMR,ONLINE,,22+AC0-Jan+AC0-19,13+AC0-May+AC0-19,6+AC0-Feb+AC0-19,20+AC0-Apr+AC0-19,STAFF
63783,MTE,135,601,Lean Six Sigma,4,TR,0830AM,1050AM,FLARMR,LBP120,18,22+AC0-Jan+AC0-19,9+AC0-May+AC0-19,6+AC0-Feb+AC0-19,20+AC0-Apr+AC0-19,STAFF
63237,MTE,238,601,Fluid Power Control,3,MW,0830AM,1020AM,FLARMR,LBP120,16,23+AC0-Jan+AC0-19,13+AC0-May+AC0-19,6+AC0-Feb+AC0-19,20+AC0-Apr+AC0-19,STAFF
64449,MTE,289,601,Manufacturing Capstone,1,,,,FLARMR,TBA,10,9+AC0-Apr+AC0-19,13+AC0-May+AC0-19,13+AC0-Apr+AC0-19,6+AC0-May+AC0-19,STAFF
61253,MTE,110,601,Applied Comm/Tmwrk in Industry,3,TR,1100AM,1215PM,FLARMR,LBP113,18,22+AC0-Jan+AC0-19,9+AC0-May+AC0-19,6+AC0-Feb+AC0-19,20+AC0-Apr+AC0-19,STAFF
61592,MTE,110,602,Applied Comm/Tmwrk in Industry,3,MW,0530PM,0645PM,FLARMR,LBP113,18,23+AC0-Jan+AC0-19,13+AC0-May+AC0-19,6+AC0-Feb+AC0-19,20+AC0-Apr+AC0-19,STAFF
62056,MTE,110,701,Applied Comm/Tmwrk in Industry,3,TR,0245PM,0400PM,,LVLD2,18,22+AC0-Jan+AC0-19,9+AC0-May+AC0-19,6+AC0-Feb+AC0-19,20+AC0-Apr+AC0-19,STAFF
