O/C,CRN,PREF,CRS,SECT,TITLE,CR,DAYS,ST TM,END TM,BLDG,ROOM,CAP,ST DT,END DT,LST NM,FST NM,COURSE NOTES
O,60841,AST,101,601,Planetary Astronomy w/Lab: SC1,4,MWF,1200PM,0130PM,FLARMR,SP216,24,22-Jan-19,13-May-19,STAFF,,"Note: Astronomy classes meet for evening labs at the Sunlight Peak Observatory.  <br> Prerequisite: MAT 050 or higher  AND  {Prerequisite or Co-requisite: CCR 092, CCR 093, or CCR 094} "
O,60842,AST,101,602,Planetary Astronomy w/Lab: SC1,4,MW,0330PM,0545PM,FLARMR,SP216,24,22-Jan-19,13-May-19,STAFF,,"Note: Astronomy classes meet for evening labs at the Sunlight Peak Observatory.  <br> Prerequisite: MAT 050 or higher    AND  {Prerequisite or Co-requisite: CCR 092, CCR 093, or CCR 094}"
O,60844,AST,101,603,Planetary Astronomy w/Lab: SC1,4,MW,0600PM,0815PM,FLARMR,SP125,24,22-Jan-19,13-May-19,STAFF,,"Note: Astronomy classes meet for evening labs at the Sunlight Peak Observatory.  <br> Prerequisite: MAT 050 or higher  AND  {Prerequisite or Co-requisite: CCR 092, CCR 093, or CCR 094}"
O,60845,AST,101,604,Planetary Astronomy w/Lab: SC1,4,TR,1100AM,0115PM,FLARMR,SP207,24,22-Jan-19,13-May-19,STAFF,,"Note: Astronomy classes meet for evening labs at the Sunlight Peak Observatory.  <br> Prerequisite: MAT 050 or higher  AND  {Prerequisite or Co-requisite: CCR 092, CCR 093, or CCR 094}"
O,60847,AST,101,605,Planetary Astronomy w/Lab: SC1,4,MW,1000AM,1215PM,FLARMR,SP207,24,22-Jan-19,13-May-19,STAFF,,"Note: Astronomy classes meet for evening labs at the Sunlight Peak Observatory.  <br> Prerequisite: Prerequisite: MAT 050 or higher AND  {Prerequisite or Co-requisite: CCR 092, CCR 093, or CCR 094}"
O,60848,AST,102,601,Stellar Astronomy w/Lab: SC1,4,TR,0430PM,0645PM,FLARMR,SP216,24,22-Jan-19,13-May-19,STAFF,,"Note:  Most Astronomy classes meet for evening labs at Stargazer Observatory located at Observatory Village, 3733 Galileo Drive, Fort Collins, once a month.  <br> Prerequisite: MAT 050 or higher AND  {Prerequisite or Co-requisite: CCR 092, CCR 093, or CCR 094}"
O,60850,BIO,105,601,Science of Biology w/Lab: SC1,4,MW,1100AM,0140PM,FLARMR,SP116,24,22-Jan-19,13-May-19,STAFF,,"Note: For Information on BIO classes contact: Chris Romero, 970-204-8664 or Jim Choun, 970-204-8178 for BIO 105, 111, 112, 115, 221, 222, 275; Heidi Smith, 970-204-8611 for BIO 106, 201, 202, 204, 216.  Prerequisite or Co-requisite: CCR 092, CCR 093, or CCR 094  "
O,60849,BIO,105,602,Science of Biology w/Lab: SC1,4,MW,0530PM,0810PM,FLARMR,SP116,24,22-Jan-19,13-May-19,STAFF,,"Note: For Information on BIO classes contact: Chris Romero, 970-204-8664 or Jim Choun, 970-204-8178 for BIO 105, 111, 112, 115, 221, 222, 275; Heidi Smith, 970-204-8611 for BIO 106, 201, 202, 204, 216.  Prerequisite or Co-requisite: CCR 092, CCR 093, or CCR 094 "
O,60852,BIO,106,801 601,Basic Anatomy And Physiology,4,TR MWF,1000AM 0800AM,1150AM 0950AM,FLPROS FLARMR,PR4 SP110,24,22-Jan-19,13-May-19,STAFF,,"Note: This section is conducted at the Prospect Center which is located at 1501 Academy Court, P12 (On Prospect between Riverside and Timberline) Fort Collins. <br> For Information on BIO classes contact: Chris Romero, 970-204-8664 or Jim Choun, 970-204-8178 for BIO 105, 111, 112, 115, 275; Heidi Smith, 970-204-8611 for BIO 106, 201, 202, 203, 204, 216. <br> Prerequisite or Co-requisite: CCR 092, CCR 093, or CCR 094."
O,60855,BIO,111,601,Gen College Biology I/Lab: SC1,5,MTW,0900AM,1050AM,FLARMR,SP116,24,22-Jan-19,13-May-19,STAFF,,"Note: For Information on BIO classes contact: Chris Romero, 970-204-8664 or Jim Choun, 970-204-8178 for BIO 105, 111, 112, 115, 221, 222, 275; Heidi Smith, 970-204-8611 for BIO 106, 201, 202, 204, 216.   NOTE:  The labs are included in the days and times listed.  They are NOT TBA.  Prerequisite or Co-requisite: CCR 092, CCR 093, or CCR 094"
O,60856,BIO,111,602,Gen College Biology I/Lab: SC1,5,MTW,1000AM,1150AM,FLARMR,SP122,24,22-Jan-19,13-May-19,STAFF,,"Note: For Information on BIO classes contact: Chris Romero, 970-204-8664 or Jim Choun, 970-204-8178 for BIO 105, 111, 112, 115, 221, 222, 275; Heidi Smith, 970-204-8611 for BIO 106, 201, 202, 204, 216.   NOTE:  The labs are included in the days and times listed.  They are NOT TBA.  Prerequisite or Co-requisite: CCR 092, CCR 093, or CCR 094 "
O,60857,BIO,111,603,Gen College Biology I/Lab: SC1,5,TR,1100AM,0140PM,FLARMR,SP116,24,22-Jan-19,13-May-19,STAFF,,"Note: For Information on BIO classes contact: Chris Romero, 970-204-8664 or Jim Choun, 970-204-8178 for BIO 105, 111, 112, 115, 221, 222, 275; Heidi Smith, 970-204-8611 for BIO 106, 201, 202, 204, 216.   NOTE:  The labs are included in the days and times listed.  They are NOT TBA.  Prerequisite or Co-requisite: CCR 092, CCR 093, or CCR 094 "
O,62344,BIO,111,604,Gen College Biology I/Lab: SC1,5,MWF,0200PM,0350PM,FLARMR,SP116,24,22-Jan-19,13-May-19,STAFF,,"Note: For Information on BIO classes contact: Chris Romero, 970-204-8664 or Jim Choun, 970-204-8178 for BIO 105, 111, 112, 115, 221, 222, 275; Heidi Smith, 970-204-8611 for BIO 106, 201, 202, 204, 216.   NOTE:  The labs are included in the days and times listed.  They are NOT TBA.   Prerequisite or Co-requisite: CCR 092, CCR 093, or CCR 094"
O,62345,BIO,111,605,Gen College Biology I/Lab: SC1,5,TR,0200PM,0440PM,FLARMR,SP116,24,22-Jan-19,13-May-19,STAFF,,"Note: For Information on BIO classes contact: Chris Romero, 970-204-8664 or Jim Choun, 970-204-8178 for BIO 105, 111, 112, 115, 221, 222, 275; Heidi Smith, 970-204-8611 for BIO 106, 201, 202, 204, 216.   NOTE:  The labs are included in the days and times listed.  They are NOT TBA.   Prerequisite or Co-requisite: CCR 092, CCR 093, or CCR 094"
O,62466,BIO,111,606,Gen College Biology I/Lab: SC1,5,TR,0600PM,0840PM,FLARMR,SP116,24,22-Jan-19,13-May-19,STAFF,,"Note: For Information on BIO classes contact: Chris Romero, 970-204-8664 or Jim Choun, 970-204-8178 for BIO 105, 111, 112, 115, 221, 222, 275; Heidi Smith, 970-204-8611 for BIO 106, 201, 202, 204, 216.   NOTE:  The labs are included in the days and times listed.  They are NOT TBA.   Prerequisite or Co-requisite: CCR 092, CCR 093, or CCR 094"
