O/C,CRN,PREF,CRS,SECT,TITLE,CR,DAYS,ST TM,END TM,BLDG,ROOM,CAP,ST DT,END DT,LST NM,FST NM
O,62339,AQT,102,601,Fish Biology and Ichthyology,5,T,0100PM,0430PM,FLARMR,BP158,20,22-Jan-19,13-May-19,STAFF,
O,62339,AQT,102,601,Fish Biology and Ichthyology,5,MW,1200PM,0100PM,FLARMR,BP158,20,22-Jan-19,13-May-19,STAFF,
O,64719,CIS,109,601,Mgmnt Software: Using AVImark,1,M,0200PM,0250PM,FLARMR,BP152,21,22-Jan-19,13-May-19,STAFF,
O,64720,CIS,109,602,Mgmnt Software: Using AVImark,1,M,0300PM,0350PM,FLARMR,BP152,21,22-Jan-19,13-May-19,STAFF,
O,64196,ENV,101,641,Environmental Sci w/Lab: SC1,4,F,1230PM,0330PM,FLARMR,BP158,20,22-Jan-19,13-May-19,STAFF,
O,64196,ENV,101,641,Environmental Sci w/Lab: SC1,4,,,,FLARMR,ONLINE,,22-Jan-19,13-May-19,STAFF,
O,64654,FLD,200,601,Advanced Floral Design,3,T,0300PM,0640PM,FLARMR,MP104 MP106,14,22-Jan-19,13-May-19,STAFF,
O,6XXXX,FLD,289,601,Capstone,4,T,0100PM,0250PM,FLARMR,MP106,4,22-Jan-19,13-May-19,STAFF,
O,63886,FSW,100,601,S-190 Intro to Wildland Fire,1,R,0600PM,0800PM,FLARMR,BP168,20,22-Jan-19,25-Feb-19,STAFF,
O,63887,FSW,101,601,S-130 Firefighting Training,2,R,0600PM,0800PM,FLARMR,BP168,20,26-Feb-19,13-May-19,STAFF,
O,60917,GIS,101,601,Introduction to GIS,3,M,0630PM,0900PM,FLARMR,BP152,21,22-Jan-19,13-May-19,STAFF,
O,63181,GIS,210,601,Intermediate GIS,3,T,0600PM,0830PM,FLARMR,BP152,21,22-Jan-19,13-May-19,STAFF,
O,63888,GIS,212,641,GIS Remote Sensing,4,M,0400PM,0600PM,FLARMR,BP152,21,22-Jan-19,13-May-19,STAFF,
O,63888,GIS,212,641,GIS Remote Sensing,4,,,,FLARMR,ONLINE,,22-Jan-19,13-May-19,STAFF,
O,64601,HLT,101,641,Introduction to Horticulture,4,MW,1030AM,1220PM,FLARMR,MP104 MP106,18,22-Jan-19,13-May-19,STAFF,
O,64601,HLT,101,641,Introduction to Horticulture,4,,,,FLARMR,ONLINE,,22-Jan-19,13-May-19,STAFF,
