O/C,CRN,PREF,CRS,SECT,TITLE,CR,DAYS,ST TM,END TM,BLDG,ROOM,CAP,ST DT,END DT,LST NM,FST NM,COURSE NOTES,,
O,60832,SOC,101,601,Intro to Sociology I : SS3,3,MWF,0800AM,0850AM,FLARMR,CP124,26,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,,,"Note:This is a Gen. Ed. Transfer course Prerequisite or Co-requisite: CCR 092, CCR 093, or CCR 094"
O,60838,SOC,231,631,Sociology-Deviant Behavior:SS3,,,,,,,,,,,,,,
O,65116,SOC,101,602,Intro to Sociology I : SS3,3,MWF,1000AM,1050AM,FLARMR,CP124,26,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,,,"Note: This is a Gen. Ed. Transfer course Prerequisite or Co-requisite: CCR 092, CCR 093, or CCR 094."
O,60836,SOC,101,603,Intro to Sociology I : SS3,3,MWF,1100AM,1150AM,FLARMR,CP124,26,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,,,"Note:This is a Gen. Ed. Transfer course Prerequisite or Co-requisite: CCR 092, CCR 093, or CCR 094"
O,61692,SOC,101,604,Intro to Sociology I : SS3,3,TR,0835AM,0950AM,FLARMR,BP105,26,22-Jan-19,13-May-19,6-Feb-19,24-Apr-19,,,"Note:This is a Gen. Ed. Transfer course Prerequisite or Co-requisite: CCR 092, CCR 093, or CCR 094"
O,60835,SOC,101,605,Intro to Sociology I : SS3,3,TR,1125AM,1240PM,FLARMR,CP124,26,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,,,"Note:This is a Gen. Ed. Transfer course Prerequisite or Co-requisite: CCR 092, CCR 093, or CCR 094"
O,60837,SOC,101,63S,Intro to Sociology I : SS3,3,TR,0100PM,0215PM,FLARMR,CP124,26,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,,,"Note: CONGRATULATIONS! You have found one of our fantastic Learning Communities. To offer students a more comprehensive educational experience, this course is paired with ENG 122-63S and our students think it’s great! In order to take this Learning Community, students need to register for both classes. Here is a link to our web page: http://www.frontrange.edu/Current-Students/Learning-Resources-and-Support-Programs/Learning-Communities/Larimer.aspx <br> Note:This is a Gen. Ed. Transfer course Prerequisite or Co-requisite: CCR 092, CCR 093, or CCR 094"
O,64427,SOC,101,606,Intro to Sociology I : SS3,3,TR,0225PM,0340PM,FLARMR,CP124,26,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,,,
O,64807,SOC,101,607,Intro to Sociology I : SS3,3,TR,0400PM,0515PM,FLARMR,CP124,26,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,,,"Note:This is a Gen. Ed. Transfer course Prerequisite or Co-requisite: CCR 092, CCR 093, or CCR 094 "
O,61646,SOC,102,601,Intro to Sociology II: SS3,3,TR,1000AM,1115AM,FLARMR,CP124,26,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,,,"Prerequisite or Co-requisite: CCR 092, CCR 093, or CCR 094."
O,63833,SOC,205,601,Soc Of Family Dynamics:SS3,3,MWF,1200PM,1250PM,FLARMR,CP124,26,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,,,"Prerequisite or Co-requisite: CCR 092, CCR 093, or CCR 094."
O,64816,SOC,216,601,Sociology Of Gender: SS3,3,MW,0225PM,0340PM,FLARMR,CP124,24,22-Jan-19,13-May-19,6-Feb-19,20-Apr-19,,,"Note: This is a Gen. Ed. Transfer course Prerequisite or Co-requisite: CCR 092, CCR 093, or CCR 094. "
