CRN,PREF,CRS,SECT,TITLE,CR,DAYS,ST TM,END TM,BLDG,ROOM,CAP,ST DT,END DT,Census,Withdraw,LST NM,FST NM,COURSE NOTES
64187,WEL,100,641,Safety for Welders,1,TR,1100AM,1200PM,FLARMR,LBP119,20,22-Jan-19,7-Mar-19,28-Jan-19,1-Mar-19,STAFF,,Note: This section is a Hybrid class (combined online/classroom instruction) 
64187,WEL,100,641,Safety for Welders,1,,,,FLARMR,ONLINE,,22-Jan-19,7-Mar-19,28-Jan-19,1-Mar-19,STAFF,,Note: This section is a Hybrid class (combined online/classroom instruction) 
64188,WEL,100,642,Safety for Welders,1,TR,0500PM,0600PM,FLARMR,LBP113,20,22-Jan-19,7-Mar-19,28-Jan-19,1-Mar-19,STAFF,,Note: This section is a Hybrid class (combined online/classroom instruction) 
64188,WEL,100,642,Safety for Welders,1,,,,FLARMR,ONLINE,,22-Jan-19,7-Mar-19,28-Jan-19,1-Mar-19,STAFF,,Note: This section is a Hybrid class (combined online/classroom instruction) 
62400,WEL,101,641,Allied Cutting Processes,4,MW,1010AM,1220PM,FLARMR,LBP119,8,26-Mar-19,13-May-19,1-Apr-19,1-May-19,STAFF,,Note: This section is a Hybrid class (combined online/classroom instruction).   <br>  Prerequisite: WEL 100 or MTE 105.  This course can also be taken concurrently.
62400,WEL,101,641,Allied Cutting Processes,4,TR,1010AM,1220PM,FLARMR,LBP150,,26-Mar-19,13-May-19,1-Apr-19,1-May-19,STAFF,,Note: This section is a Hybrid class (combined online/classroom instruction).   <br>  Prerequisite: WEL 100 or MTE 105.  This course can also be taken concurrently.
62400,WEL,101,641,Allied Cutting Processes,4,,,,FLARMR,ONLINE,,26-Mar-19,13-May-19,1-Apr-19,1-May-19,STAFF,,Note: This section is a Hybrid class (combined online/classroom instruction).   <br>  Prerequisite: WEL 100 or MTE 105.  This course can also be taken concurrently.
65066,WEL,101,642,Allied Cutting Processes,4,MW,0240PM,0450PM,FLARMR,LBP119,8,22-Jan-19,11-Mar-19,1-Apr-19,1-May-19,STAFF,,Note: This section is a Hybrid class (combined online/classroom instruction).   <br>  Prerequisite: WEL 100 or MTE 105.  This course can also be taken concurrently.
65066,WEL,101,642,Allied Cutting Processes,4,TR,0240PM,0450PM,FLARMR,LBP150,,22-Jan-19,11-Mar-19,1-Apr-19,1-May-19,STAFF,,Note: This section is a Hybrid class (combined online/classroom instruction).   <br>  Prerequisite: WEL 100 or MTE 105.  This course can also be taken concurrently.
65066,WEL,101,642,Allied Cutting Processes,4,,,,FLARMR,ONLINE,,22-Jan-19,11-Mar-19,1-Apr-19,1-May-19,STAFF,,Note: This section is a Hybrid class (combined online/classroom instruction).   <br>  Prerequisite: WEL 100 or MTE 105.  This course can also be taken concurrently.
62401,WEL,101,643,Allied Cutting Processes,4,T,0500PM,0930PM,FLARMR,LBP119,8,22-Jan-19,7-Mar-19,28-Jan-19,1-Mar-19,STAFF,,Note: This section is a Hybrid class (combined online/classroom instruction).   <br>  Prerequisite: WEL 100 or MTE 105.  This course can also be taken concurrently.  
62401,WEL,101,643,Allied Cutting Processes,4,R,0500PM,0930PM,FLARMR,LBP150,,22-Jan-19,7-Mar-19,28-Jan-19,1-Mar-19,STAFF,,Note: This section is a Hybrid class (combined online/classroom instruction).   <br>  Prerequisite: WEL 100 or MTE 105.  This course can also be taken concurrently.  
62401,WEL,101,643,Allied Cutting Processes,4,,,,FLARMR,ONLINE,,22-Jan-19,7-Mar-19,28-Jan-19,1-Mar-19,STAFF,,Note: This section is a Hybrid class (combined online/classroom instruction).   <br>  Prerequisite: WEL 100 or MTE 105.  This course can also be taken concurrently.  
61660,WEL,103,641,Basic Shielded Metal Arc I,4,TR,0240PM,0450PM,FLARMR,LBP119,12,22-Jan-19,11-Mar-19,28-Jan-19,1-Mar-19,STAFF,,Note: This section is a Hybrid class (combined online/classroom instruction).   <br>  Prerequisite: WEL 100 or MTE 105.  This course can also be taken concurrently. 
61660,WEL,103,641,Basic Shielded Metal Arc I,4,MW,0240PM,0450PM,FLARMR,LBP150,,22-Jan-19,11-Mar-19,28-Jan-19,1-Mar-19,STAFF,,Note: This section is a Hybrid class (combined online/classroom instruction).   <br>  Prerequisite: WEL 100 or MTE 105.  This course can also be taken concurrently. 
61660,WEL,103,641,Basic Shielded Metal Arc I,4,,,,FLARMR,ONLINE,,22-Jan-19,11-Mar-19,28-Jan-19,1-Mar-19,STAFF,,Note: This section is a Hybrid class (combined online/classroom instruction).   <br>  Prerequisite: WEL 100 or MTE 105.  This course can also be taken concurrently. 
63795,WEL,103,643,Basic Shielded Metal Arc I,4,M,0500PM,0930PM,FLARMR,LBP120,12,23-Jan-19,11-Mar-19,28-Jan-19,1-Mar-19,STAFF,,Note: This section is a Hybrid class (combined online/classroom instruction).   <br>  Prerequisite: WEL 100 or MTE 105.  This course can also be taken concurrently. 					 
63795,WEL,103,643,Basic Shielded Metal Arc I,4,W,0500PM,0930PM,FLARMR,ONLINE,,23-Jan-19,11-Mar-19,28-Jan-19,1-Mar-19,STAFF,,Note: This section is a Hybrid class (combined online/classroom instruction).   <br>  Prerequisite: WEL 100 or MTE 105.  This course can also be taken concurrently. 					 
63795,WEL,103,643,Basic Shielded Metal Arc I,,,,,FLARMR,ONLINE,,23-Jan-19,11-Mar-19,28-Jan-19,1-Mar-19,STAFF,,Note: This section is a Hybrid class (combined online/classroom instruction).   <br>  Prerequisite: WEL 100 or MTE 105.  This course can also be taken concurrently. 					 
61198,WEL,104,641,Basic Shielded Metal Arc II,4,MW,0240PM,0450PM,FLARMR,LBP119,12,26-Mar-19,13-May-19,1-Apr-19,1-May-19,STAFF,,Note: This section is a Hybrid class (combined online/classroom instruction).  <br>  Prerequisites:WEL 101 and WEL 103.  
61198,WEL,104,641,Basic Shielded Metal Arc II,4,TR,0240PM,0450PM,FLARMR,LBP150,,26-Mar-19,13-May-19,1-Apr-19,1-May-19,STAFF,,Note: This section is a Hybrid class (combined online/classroom instruction).  <br>  Prerequisites:WEL 101 and WEL 103.  
61198,WEL,104,641,Basic Shielded Metal Arc II,4,,,,FLARMR,ONLINE,,26-Mar-19,13-May-19,1-Apr-19,1-May-19,STAFF,,Note: This section is a Hybrid class (combined online/classroom instruction).  <br>  Prerequisites:WEL 101 and WEL 103.  
64189,WEL,104,643,Basic Shielded Metal Arc II,4,W,0500PM,0930PM,FLARMR,LBP119,12,26-Mar-19,13-May-19,1-Apr-19,1-May-19,STAFF,,Note: This section is a Hybrid class (combined online/classroom instruction).  <br>  Prerequisites:WEL 101 and WEL 103.   
64189,WEL,104,643,Basic Shielded Metal Arc II,4,M,0500PM,0930PM,FLARMR,LBP150,,26-Mar-19,13-May-19,1-Apr-19,1-May-19,STAFF,,Note: This section is a Hybrid class (combined online/classroom instruction).  <br>  Prerequisites:WEL 101 and WEL 103.   
64189,WEL,104,643,Basic Shielded Metal Arc II,4,,,,FLARMR,ONLINE,,26-Mar-19,13-May-19,1-Apr-19,1-May-19,STAFF,,Note: This section is a Hybrid class (combined online/classroom instruction).  <br>  Prerequisites:WEL 101 and WEL 103.   
