CRN,PREF,CRS,SECT,TITLE,CR,DAYS,ST TM,END TM,BLDG,ROOM,CAP,ST DT,END DT,CENSUS,WITHD,LST NM,FST NM,COURSE NOTES
60817,PSY,101,601,General Psychology I: SS3,3,MWF,0900AM,0950AM,FLARMR,CP126,30,22+AC0-Jan+AC0-19,13+AC0-May+AC0-19,6+AC0-Feb+AC0-19,20+AC0-Apr+AC0-19,STAFF,,
62363,PSY,101,602,General Psychology I: SS3,3,MWF,1000AM,1050AM,FLARMR,CP120,30,22+AC0-Jan+AC0-19,13+AC0-May+AC0-19,6+AC0-Feb+AC0-19,20+AC0-Apr+AC0-19,STAFF,,
62749,PSY,101,603,General Psychology I: SS3,3,MWF,1100AM,1150AM,FLARMR,CP120,30,22+AC0-Jan+AC0-19,13+AC0-May+AC0-19,6+AC0-Feb+AC0-19,20+AC0-Apr+AC0-19,STAFF,,
60821,PSY,101,604,General Psychology I: SS3,3,MWF,1200PM,1250PM,FLARMR,,30,22+AC0-Jan+AC0-19,13+AC0-May+AC0-19,6+AC0-Feb+AC0-19,20+AC0-Apr+AC0-19,STAFF,,
60818,PSY,101,605,General Psychology I: SS3,3,MW,0100PM,0215PM,FLARMR,MP106,30,22+AC0-Jan+AC0-19,13+AC0-May+AC0-19,6+AC0-Feb+AC0-19,20+AC0-Apr+AC0-19,STAFF,,
60819,PSY,101,606,General Psychology I: SS3,3,MW,0225PM,0340PM,FLARMR,MP106,30,22+AC0-Jan+AC0-19,13+AC0-May+AC0-19,6+AC0-Feb+AC0-19,20+AC0-Apr+AC0-19,STAFF,,
60820,PSY,101,607,General Psychology I: SS3,3,MW,0400PM,0515PM,FLARMR,CP120,30,22+AC0-Jan+AC0-19,13+AC0-May+AC0-19,6+AC0-Feb+AC0-19,20+AC0-Apr+AC0-19,STAFF,,
62361,PSY,101,608,General Psychology I: SS3,3,TR,1000AM,1115AM,FLARMR,CP120,30,22+AC0-Jan+AC0-19,13+AC0-May+AC0-19,6+AC0-Feb+AC0-19,20+AC0-Apr+AC0-19,STAFF,,
,PSY,101,608,General Psychology I: SS3,3,TR,1125AM,1240PM,FLARMR,,30,22+AC0-Jan+AC0-19,13+AC0-May+AC0-19,6+AC0-Feb+AC0-19,20+AC0-Apr+AC0-19,STAFF,,
61839,PSY,101,609,General Psychology I: SS3,3,TR,0100PM,0215PM,FLARMR,BP131,30,22+AC0-Jan+AC0-19,13+AC0-May+AC0-19,6+AC0-Feb+AC0-19,20+AC0-Apr+AC0-19,STAFF,,
60822,PSY,101,610,General Psychology I: SS3,3,TR,0225PM,0340PM,FLARMR,BP131,30,22+AC0-Jan+AC0-19,13+AC0-May+AC0-19,6+AC0-Feb+AC0-19,20+AC0-Apr+AC0-19,STAFF,,
64915,PSY,101,611,General Psychology I: SS3,3,TR,0400PM,0515PM,FLARMR,CP120,30,22+AC0-Jan+AC0-19,13+AC0-May+AC0-19,6+AC0-Feb+AC0-19,20+AC0-Apr+AC0-19,STAFF,,
62362,PSY,101,612,General Psychology I: SS3,3,MW,0330PM,0510PM,FLARMR,,24,12+AC0-Feb+AC0-19,13+AC0-May+AC0-19,24+AC0-Feb+AC0-19,24+AC0-Apr+AC0-19,STAFF,,
